LOADED TRAINER
LOADED GEN NUMBER:  999
Gen: 1114, Best Score: -144.19790037810287, Avg Score: -7.26283788286742e+53, Time: 0.15031985349125332
Gen: 1115, Best Score: -144.19790037810287, Avg Score: -5.7131177247892866e+38, Time: 0.1514022738403744
Gen: 1116, Best Score: -144.19790037810287, Avg Score: -3.3397725155256045e+55, Time: 0.15244404488139682
Gen: 1117, Best Score: -144.19790037810287, Avg Score: -3.1633948060201562e+62, Time: 0.15348094304402668
Gen: 1118, Best Score: -144.19790037810287, Avg Score: -4.899807446578048e+48, Time: 0.15453839785522885
Gen: 1119, Best Score: -144.19790037810287, Avg Score: -8.47947000486416e+56, Time: 0.15565697921646965
Validation champ met/exceeded the best test score with (UUID('fc4d0dec-ae71-4404-bdbb-eaefe87416f6'), {'validation': -140.48131344004233}) on test data.
Gen: 1120, Best Score: -140.48131344004233, Avg Score: -5.725410345878881e+46, Time: 0.15846798479557037
Gen: 1121, Best Score: -144.19790037810287, Avg Score: -4.3368405569444105e+54, Time: 0.1595602717002233
Gen: 1122, Best Score: -144.19790037810287, Avg Score: -4.30210930565775e+70, Time: 0.1606234293513828
Gen: 1123, Best Score: -144.19790037810287, Avg Score: -1.0844490436271495e+51, Time: 0.16165516495704652
Gen: 1124, Best Score: -144.19790037810287, Avg Score: -5.144749610451731e+76, Time: 0.16268110977278816
Gen: 1125, Best Score: -144.19790037810287, Avg Score: -2.5839901016582304e+59, Time: 0.16371661941210428
Gen: 1126, Best Score: -144.19790037810287, Avg Score: -5.56314679007876e+53, Time: 0.16478114287058512
Gen: 1127, Best Score: -144.19790037810287, Avg Score: -6.865830828781257e+66, Time: 0.16584910333156586
Gen: 1128, Best Score: -144.19790037810287, Avg Score: -1.5362483886842185e+56, Time: 0.1668644389179018
Gen: 1129, Best Score: -144.19790037810287, Avg Score: -1.5514634120484683e+55, Time: 0.16789412796497344
Validation champ met/exceeded the best test score with (UUID('fc4cc9e3-858e-4653-8813-7b73545a7e77'), {'validation': -140.48131344004233}) on test data.
Gen: 1130, Best Score: -140.38703827640003, Avg Score: -1.644271219768627e+45, Time: 0.17096823546621534
